"PEP_ID";"National_ID";"LON";"LAT";"ALT";"NAME"
1;11110000;9.43333;54.7667;25;"Flensburg, kreisfreie Stadt Flensburg"
2;11120000;10.15;54.4;25;"Kiel-Pries"
3;11120001;10.15;54.3333;29;"Kiel-Düsternbrook"
4;11120002;10.05;54.3167;30;"Kiel-Mettenhof"
15;11311280;9.7;54.4833;35;"Fleckeby"
16;11311300;9.96667;54.4;25;"Gettorf"
19;11311351;9.88333;54.4167;18;"Hohenlieth"
21;11311470;9.81667;54.4333;25;"Goosefeld"
24;11311530;10.0167;54.4333;20;"Osdorf b. Kiel"
26;11311532;10.05;54.4333;25;"Osdorf-Borghorsterhütten"
28;11311560;9.81667;54.55;25;"Rieseby"
29;11311591;10.1167;54.4833;35;"Dänisch Nienhof"
30;11321120;8.78333;54.3333;4;"Garding (PH)"
32;11321221;8.8;54.4;2;"Norder-Hever-Koog"
33;11321230;8.76667;54.3667;5;"Poppenbüll"
36;11321280;8.95;54.3167;1;"Tönning"
37;11331110;10.5667;54.0167;60;"Ahrensbök (PH)"
38;11331111;10.4833;54;40;"Gnissau"
39;11331120;10.7;53.9167;5;"Schwartau, Bad"
40;11331121;10.6833;53.95;72;"Pariner Berg"
41;11331140;10.6167;54.1333;40;"Eutin (PH)"
43;11331152;10.6667;54;20;"Sarkwitz"
44;11331161;10.6167;54.2167;60;"Malente-Benz"
50;11331181;10.6667;53.9333;30;"Horsdorf"
51;11331191;10.6667;54.1167;60;"Süsel-Röbel"
52;11331192;10.6833;54.15;70;"Zarnekau"
53;11331193;10.6333;54.0833;25;"Gothendorf"
55;11331201;10.85;53.9833;20;"Niendorf"
56;11341120;9.56667;54.7333;45;"Ausacker"
57;11341170;9.55;54.7;40;"Bistoft"
59;11341240;9.36667;54.6167;20;"Eggebek (Ph)"
61;11341320;9.9;54.75;12;"Gelting"
62;11341340;9.56667;54.8333;20;"Glücksburg"
66;11341491;9.95;54.7167;11;"Hasselberg-Kieholm"
68;11341550;9.51667;54.75;60;"Hürup"
82;11342090;9.68333;54.7167;45;"Sörup"
83;11342110;9.31667;54.5667;9;"Sollerup"
84;11342170;9.73333;54.7333;25;"Sterup (PH)"
85;11342240;9.4;54.6667;25;"Tarp"
87;11342330;9.23333;54.7833;25;"Wallsbüll"
90;11342390;9.66667;54.8167;25;"Westerholz"
93;11351240;10.6167;53.6;35;"Breitenfelde, Kr. Hzgt Lauenburg"
94;11351280;10.6333;53.4833;20;"Büchen"
95;11351350;10.5667;53.6833;40;"Duvensee"
97;11351500;10.75;53.8;15;"Groß Grönau"
98;11351620;10.8167;53.5833;30;"Hollenbek"
103;11351970;10.7;53.6167;30;"Mölln"
106;11352070;10.7833;53.7;35;"Ratzeburg"
107;11352100;10.6167;53.75;20;"Rondeshagen"
110;11352220;10.4833;53.5;40;"Schwarzenbek"
115;11361140;9.01667;54.5833;6;"Almdorf"
118;11361210;8.96667;54.6167;10;"Bredstedt"
120;11361250;9.25;54.4;10;"Fresendelf"
122;11361340;9.25;54.4167;8;"Hollbüllhuus"
