"timeseries";"PEP_ID";"Species";"phenology";"BBCH";"YEAR";"DoY";"mean_DoYout";"SD_DoYout";"mean_DoYoff";"SD_DoYoff";"MAD_ratio";"timeseries_length"
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1954;276;122.21875;7.303266503;278.625;11.74665361;0.713654739;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1954;130;122.21875;7.303266503;278.625;11.74665361;0.556998821;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1955;273;122.21875;7.303266503;278.625;11.74665361;0.687545419;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1955;127;122.21875;7.303266503;278.625;11.74665361;0.58310814;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1956;290;122.21875;7.303266503;278.625;11.74665361;0.835498231;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1956;132;122.21875;7.303266503;278.625;11.74665361;0.539592608;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1957;263;122.21875;7.303266503;278.625;11.74665361;0.600514354;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1957;121;122.21875;7.303266503;278.625;11.74665361;0.63532678;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1958;285;122.21875;7.303266503;278.625;11.74665361;0.791982698;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1958;132;122.21875;7.303266503;278.625;11.74665361;0.539592608;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1959;273;122.21875;7.303266503;278.625;11.74665361;0.687545419;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1959;118;122.21875;7.303266503;278.625;11.74665361;0.6614361;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1960;279;122.21875;7.303266503;278.625;11.74665361;0.739764059;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1960;124;122.21875;7.303266503;278.625;11.74665361;0.60921746;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1961;293;122.21875;7.303266503;278.625;11.74665361;0.861607551;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1961;115;122.21875;7.303266503;278.625;11.74665361;0.687545419;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1962;293;122.21875;7.303266503;278.625;11.74665361;0.861607551;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1962;130;122.21875;7.303266503;278.625;11.74665361;0.556998821;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1963;283;122.21875;7.303266503;278.625;11.74665361;0.774576485;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1963;133;122.21875;7.303266503;278.625;11.74665361;0.530889501;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1964;277;122.21875;7.303266503;278.625;11.74665361;0.722357846;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1964;121;122.21875;7.303266503;278.625;11.74665361;0.63532678;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1965;287;122.21875;7.303266503;278.625;11.74665361;0.809388911;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1965;128;122.21875;7.303266503;278.625;11.74665361;0.574405034;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1976;250;122.21875;7.303266503;278.625;11.74665361;0.487373968;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1976;128;122.21875;7.303266503;278.625;11.74665361;0.574405034;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1978;298;122.21875;7.303266503;278.625;11.74665361;0.905123084;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1978;138;122.21875;7.303266503;278.625;11.74665361;0.487373968;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1980;268;122.21875;7.303266503;278.625;11.74665361;0.644029886;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1980;121;122.21875;7.303266503;278.625;11.74665361;0.63532678;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1981;282;122.21875;7.303266503;278.625;11.74665361;0.765873379;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1981;127;122.21875;7.303266503;278.625;11.74665361;0.58310814;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1982;295;122.21875;7.303266503;278.625;11.74665361;0.879013764;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1982;116;122.21875;7.303266503;278.625;11.74665361;0.678842313;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1983;264;122.21875;7.303266503;278.625;11.74665361;0.60921746;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1983;116;122.21875;7.303266503;278.625;11.74665361;0.678842313;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1984;271;122.21875;7.303266503;278.625;11.74665361;0.670139206;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1984;115;122.21875;7.303266503;278.625;11.74665361;0.687545419;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1985;265;122.21875;7.303266503;278.625;11.74665361;0.617920567;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1985;128;122.21875;7.303266503;278.625;11.74665361;0.574405034;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1986;264;122.21875;7.303266503;278.625;11.74665361;0.60921746;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1986;123;122.21875;7.303266503;278.625;11.74665361;0.617920567;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1987;266;122.21875;7.303266503;278.625;11.74665361;0.626623673;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1987;118;122.21875;7.303266503;278.625;11.74665361;0.6614361;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1988;275;122.21875;7.303266503;278.625;11.74665361;0.704951632;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1988;112;122.21875;7.303266503;278.625;11.74665361;0.713654739;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1990;268;122.21875;7.303266503;278.625;11.74665361;0.644029886;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1990;106;122.21875;7.303266503;278.625;11.74665361;0.765873379;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1991;280;122.21875;7.303266503;278.625;11.74665361;0.748467165;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1991;127;122.21875;7.303266503;278.625;11.74665361;0.58310814;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1992;291;122.21875;7.303266503;278.625;11.74665361;0.844201338;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1992;124;122.21875;7.303266503;278.625;11.74665361;0.60921746;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1993;280;122.21875;7.303266503;278.625;11.74665361;0.748467165;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1993;114;122.21875;7.303266503;278.625;11.74665361;0.696248526;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1995;299;122.21875;7.303266503;278.625;11.74665361;0.91382619;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1995;118;122.21875;7.303266503;278.625;11.74665361;0.6614361;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1996;276;122.21875;7.303266503;278.625;11.74665361;0.713654739;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1996;118;122.21875;7.303266503;278.625;11.74665361;0.6614361;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1997;277;122.21875;7.303266503;278.625;11.74665361;0.722357846;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1997;121;122.21875;7.303266503;278.625;11.74665361;0.63532678;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1998;289;122.21875;7.303266503;278.625;11.74665361;0.826795125;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1998;116;122.21875;7.303266503;278.625;11.74665361;0.678842313;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.off";94;1999;286;122.21875;7.303266503;278.625;11.74665361;0.800685805;32
"1_Fagus sylvatica";1;"Fagus sylvatica";"leaf.out";11;1999;114;122.21875;7.303266503;278.625;11.74665361;0.696248526;32
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1954;290;137.8235294;11.15312319;278.7647059;15.12985975;0.816988807;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1954;148;137.8235294;11.15312319;278.7647059;15.12985975;0.531992712;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1955;293;137.8235294;11.15312319;278.7647059;15.12985975;0.845488417;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1955;157;137.8235294;11.15312319;278.7647059;15.12985975;0.446493883;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1956;291;137.8235294;11.15312319;278.7647059;15.12985975;0.826488677;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1956;153;137.8235294;11.15312319;278.7647059;15.12985975;0.484493362;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1957;278;137.8235294;11.15312319;278.7647059;15.12985975;0.702990369;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1957;150;137.8235294;11.15312319;278.7647059;15.12985975;0.512992972;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1958;298;137.8235294;11.15312319;278.7647059;15.12985975;0.892987766;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1958;152;137.8235294;11.15312319;278.7647059;15.12985975;0.493993232;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1959;288;137.8235294;11.15312319;278.7647059;15.12985975;0.797989068;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1959;138;137.8235294;11.15312319;278.7647059;15.12985975;0.62699141;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1960;284;137.8235294;11.15312319;278.7647059;15.12985975;0.759989588;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1960;146;137.8235294;11.15312319;278.7647059;15.12985975;0.550992451;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1961;301;137.8235294;11.15312319;278.7647059;15.12985975;0.921487376;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1961;140;137.8235294;11.15312319;278.7647059;15.12985975;0.607991671;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1962;296;137.8235294;11.15312319;278.7647059;15.12985975;0.873988026;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1962;161;137.8235294;11.15312319;278.7647059;15.12985975;0.408494404;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1963;285;137.8235294;11.15312319;278.7647059;15.12985975;0.769489458;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1963;154;137.8235294;11.15312319;278.7647059;15.12985975;0.474993493;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1964;288;137.8235294;11.15312319;278.7647059;15.12985975;0.797989068;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1964;142;137.8235294;11.15312319;278.7647059;15.12985975;0.588991931;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1965;303;137.8235294;11.15312319;278.7647059;15.12985975;0.940487115;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1965;126;137.8235294;11.15312319;278.7647059;15.12985975;0.740989848;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1976;260;137.8235294;11.15312319;278.7647059;15.12985975;0.531992712;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1976;139;137.8235294;11.15312319;278.7647059;15.12985975;0.61749154;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1978;288;137.8235294;11.15312319;278.7647059;15.12985975;0.797989068;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1978;151;137.8235294;11.15312319;278.7647059;15.12985975;0.503493102;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1980;247;137.8235294;11.15312319;278.7647059;15.12985975;0.408494404;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1980;135;137.8235294;11.15312319;278.7647059;15.12985975;0.65549102;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1981;259;137.8235294;11.15312319;278.7647059;15.12985975;0.522492842;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1981;137;137.8235294;11.15312319;278.7647059;15.12985975;0.63649128;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1982;265;137.8235294;11.15312319;278.7647059;15.12985975;0.579492061;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1982;136;137.8235294;11.15312319;278.7647059;15.12985975;0.64599115;34
"1_Quercus robur";1;"Quercus robur";"leaf.off";94;1983;264;137.8235294;11.15312319;278.7647059;15.12985975;0.569992191;34
"1_Quercus robur";1;"Quercus robur";"leaf.out";11;1983;131;137.8235294;11.15312319;278.7647059;15.12985975;0.693490499;34
