"timeseries";"PEP_ID";"LON";"LAT";"Species";"YEAR";"DoY_off";"DoY_out";"autumn_anomaly";"spring_anomaly";"temp_GS";"temp_aut2";"temp_aut3";"RD";"RD_summer";"HRD";"HD35";"FD";"CO2";"ci";"VPD";"FD_spring";"cGSI";"cA_tot-w";"cA_tot"
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1954;276;114;-2.625;-17;17.78699805;9.326416688;9.364;90;16;57;1e-05;1e-05;3773.633181;2194.052965;2.608915424;1e-05;136.855204;1384.025153;1408.563476
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1955;273;127;-5.625;-4;18.81040709;10.68229169;10.836;72;14;47;1e-05;1e-05;3777.82049;1878.444257;2.634595439;1e-05;133.9771152;1284.381349;1250.136495
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1956;290;138;11.375;7;17.05928;9.572583;9.521333;75;7;39;1e-05;1e-05;3781.508081;1880.322933;2.399263925;1e-05;129.2717;1229.316252;1243.93622
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1957;263;127;-15.625;-4;17.23337559;7.968666688;8.021;94;17;51;1e-05;1e-05;3785.204728;1569.194775;2.18901703;1e-05;135.7566242;1393.291413;1397.164745
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1958;285;150;6.375;19;18.28092;10.331335;10.36767;87;17;63;1e-05;1e-05;3789.601455;1884.375144;2.442699379;1e-05;134.2276;1303.121742;1334.65643
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1959;273;140;-5.625;9;19.66661997;8.983541688;9.024;54;3;31;1e-05;1e-05;3795.397581;1887.338511;3.241355382;1e-05;147.4338022;1525.327697;1293.212907
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1960;279;128;0.375;-3;17.92531813;9.3688125;9.385333333;84;8;46;1e-05;1e-05;3805.456115;1892.630009;2.423376752;1e-05;138.6740534;1361.327672;1381.674479
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1961;293;132;14.375;1;17.5156;10.87096;10.88367;90;11;55;1e-05;1e-05;3813.627035;1896.441879;2.399914784;1e-05;140.8653;1330.183253;1353.528663
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1962;293;152;14.375;21;15.71128;8.5068955;8.362;87;10;50;1e-05;1e-05;3822.804023;1579.670183;1.893784222;1e-05;123.6631;1208.684739;1248.151928
"1_Fagus sylvatica";1;9.43333;54.7667;"Fagus sylvatica";1963;283;140;4.375;9;18.31661;9.080521;9.049;79;8;51;1e-05;1e-05;3830.421192;1904.756645;2.497269586;1e-05;134.2616;1298.548591;1335.789961
