"timeseries";"PEP_ID";"LON";"LAT";"ALT";"Species";"YEAR";"DoY_out";"DoY_off";"w_max";"k_perc";"c_soil";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"LAI"
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1954;130;276;14.8;3.5;0.02;316.016731;316.6787903;317.2827784;317.7334064;317.4273972;315.6110494;312.2357122;309.3696233;309.6648034;312.0109728;314.1125277;315.4893885;1.29
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1955;127;273;14.8;3.5;0.02;316.3707942;317.031668;317.6355239;318.0871151;317.7851518;315.9751256;312.5996087;309.7248855;310.0114233;312.3480621;314.4405397;315.810592;1.19
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1956;132;290;14.8;3.5;0.02;316.6828882;317.3406621;317.9431971;318.3953053;318.0986339;316.2974775;312.9234876;310.0400584;310.3181014;312.6451738;314.7290187;316.0940773;1.22
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1957;121;263;14.8;3.5;0.02;316.979579;317.6371629;318.2397945;318.6923262;318.395839;316.5949325;313.2240644;310.3472667;310.6326726;312.9679212;315.0601444;316.4330248;1.35
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1958;132;285;14.8;3.5;0.02;317.3274665;317.9914114;318.5993655;319.0559684;318.7610904;316.959554;313.5898078;310.7167556;311.0049101;313.3430259;315.4382124;316.8138865;1.23
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1959;118;273;14.8;3.5;0.02;317.7033873;318.3728602;318.9897569;319.4593862;319.1832254;317.4063566;314.0639746;311.2205867;311.5438085;313.9205589;316.0571699;317.4765096;0.95
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1960;124;279;14.8;3.5;0.02;318.4151967;319.1277199;319.7845266;320.289508;320.0425342;318.2873522;314.957543;312.1164952;312.4323593;314.7937247;316.9084144;318.300741;1.23
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1961;115;293;14.8;3.5;0.02;319.2177129;319.8974731;320.520287;320.9916348;320.7107957;318.9240579;315.5764838;312.7352227;313.0590646;315.4362547;317.5717162;318.9863315;1.13
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1962;130;293;14.8;3.5;0.02;319.9240167;320.626262;321.2703019;321.7601768;321.492057;319.711519;316.3680138;313.5289963;313.8475725;316.2140814;318.3337334;319.7272917;1.31
"1_Fagus sylvatica";1;9.43333;54.7667;25;"Fagus sylvatica";1963;133;283;14.8;3.5;0.02;320.6412298;321.3171203;321.9346459;322.3992431;322.1066494;320.3046359;316.9507188;314.1156086;314.4463817;316.8326509;318.9766375;320.3956702;1.25
