timeseries;Species;PEP_ID;YEAR;GST;RD_summer;cGSI;cA_tot
1_Fagus sylvatica;Fagus sylvatica;1;2016;14.11858;34;96.5141034;3421.854989
1_Fagus sylvatica;Fagus sylvatica;1;2017;14.21305;34;92.25896587;3776.741341
1_Fagus sylvatica;Fagus sylvatica;1;2018;14.75628;41;102.3351394;4026.507015
1_Fagus sylvatica;Fagus sylvatica;1;2019;14.08762;49;101.9930976;3539.901879
1_Fagus sylvatica;Fagus sylvatica;1;2020;16.00089;21;99.75637709;4639.783111
1_Fagus sylvatica;Fagus sylvatica;1;2021;14.57024;41;105.5712114;4007.493121
1_Fagus sylvatica;Fagus sylvatica;1;2022;14.59933;31;97.25736564;3986.068121
1_Fagus sylvatica;Fagus sylvatica;1;2023;15.52031;35;101.11344;4531.55869
1_Fagus sylvatica;Fagus sylvatica;1;2024;15.92236;26;100.2263023;4244.431378
1_Fagus sylvatica;Fagus sylvatica;1;2025;15.14031;45;102.6570919;4018.753914
1_Fagus sylvatica;Fagus sylvatica;1;2026;16.41721;30;104.6318492;4336.961665
1_Fagus sylvatica;Fagus sylvatica;1;2027;13.83079;41;92.95378295;3221.713914
1_Fagus sylvatica;Fagus sylvatica;1;2028;15.98646;29;103.7378944;4784.100425
1_Fagus sylvatica;Fagus sylvatica;1;2029;15.39252;35;99.5128253;3926.275914
1_Fagus sylvatica;Fagus sylvatica;1;2030;14.90998;24;93.51179869;3644.518835
1_Fagus sylvatica;Fagus sylvatica;1;2031;14.30313;48;100.4244245;4122.869635
1_Fagus sylvatica;Fagus sylvatica;1;2032;14.83007;34;102.410673;4297.954237
1_Fagus sylvatica;Fagus sylvatica;1;2033;15.07901;39;105.0950848;4219.83943
1_Fagus sylvatica;Fagus sylvatica;1;2034;13.75804;44;95.49635958;3470.738088
1_Fagus sylvatica;Fagus sylvatica;1;2035;14.00242;48;93.8025941;3375.771793
1_Fagus sylvatica;Fagus sylvatica;1;2036;14.60294;36;104.7619481;4080.971879
1_Fagus sylvatica;Fagus sylvatica;1;2037;15.63405;49;103.776021;4045.828792
1_Fagus sylvatica;Fagus sylvatica;1;2038;14.87337;55;99.17320759;3588.045345
1_Fagus sylvatica;Fagus sylvatica;1;2039;13.88178;50;98.68008019;3711.342863
1_Fagus sylvatica;Fagus sylvatica;1;2040;15.65852;32;99.17912258;3888.244011
