"timeseries";"Species";"YEAR";"Obs_DoYoff";"Pred_DoYoff_CDD";"Pred_DoYoff_DM1";"Pred_DoYoff_DM2";"Pred_DoYoff_TPM";"Pred_DoYoff_SIAM";"Pred_DoYoff_TDM";"Pred_DoYoff_TPDM";"Pred_DoYoff_PIAgsi";"Pred_DoYoff_PIA-";"Pred_DoYoff_PIA+";"meansite_DoYoff";"Obs_AnomDoYoff";"Pred_AnomDoYoff_CDD";"Pred_AnomDoYoff_DM1";"Pred_AnomDoYoff_DM2";"Pred_AnomDoYoff_TPM";"Pred_AnomDoYoff_SIAM";"Pred_AnomDoYoff_TDM";"Pred_AnomDoYoff_TPDM";"Pred_AnomDoYoff_PIAgsi";"Pred_AnomDoYoff_PIA-";"Pred_AnomDoYoff_PIA+"
"1_Fagus sylvatica";"Fagus sylvatica";1954;276;277;275;277;276;285;271;284;271;270;276;278.625;-2.625;-1.625;-3.625;-1.625;-2.625;6.375;-7.625;5.375;-7.625;-8.625;-2.625
"1_Fagus sylvatica";"Fagus sylvatica";1955;273;283;282;282;282;259;260;260;263;261;261;278.625;-5.625;4.375;3.375;3.375;3.375;-19.625;-18.625;-18.625;-15.625;-17.625;-17.625
"1_Fagus sylvatica";"Fagus sylvatica";1956;290;275;278;278;278;291;298;286;287;285;288;278.625;11.375;-3.625;-0.625;-0.625;-0.625;12.375;19.375;7.375;8.375;6.375;9.375
"1_Fagus sylvatica";"Fagus sylvatica";1957;263;275;272;274;272;269;258;258;261;259;259;278.625;-15.625;-3.625;-6.625;-4.625;-6.625;-9.625;-20.625;-20.625;-17.625;-19.625;-19.625
"1_Fagus sylvatica";"Fagus sylvatica";1958;285;279;281;281;281;288;286;280;274;274;277;278.625;6.375;0.375;2.375;2.375;2.375;9.375;7.375;1.375;-4.625;-4.625;-1.625
"1_Fagus sylvatica";"Fagus sylvatica";1959;273;280;275;277;274;278;268;272;274;267;268;278.625;-5.625;1.375;-3.625;-1.625;-4.625;-0.625;-10.625;-6.625;-4.625;-11.625;-10.625
"1_Fagus sylvatica";"Fagus sylvatica";1960;279;278;276;278;279;282;271;283;272;277;277;278.625;0.375;-0.625;-2.625;-0.625;0.375;3.375;-7.625;4.375;-6.625;-1.625;-1.625
"1_Fagus sylvatica";"Fagus sylvatica";1961;293;279;286;286;288;289;289;287;279;279;278;278.625;14.375;0.375;7.375;7.375;9.375;10.375;10.375;8.375;0.375;0.375;-0.625
"1_Fagus sylvatica";"Fagus sylvatica";1962;293;274;273;276;274;297;294;297;291;295;295;278.625;14.375;-4.625;-5.625;-2.625;-4.625;18.375;15.375;18.375;12.375;16.375;16.375
"1_Fagus sylvatica";"Fagus sylvatica";1963;283;277;275;277;275;278;277;290;284;283;283;278.625;4.375;-1.625;-3.625;-1.625;-3.625;-0.625;-1.625;11.375;5.375;4.375;4.375
"1_Fagus sylvatica";"Fagus sylvatica";1964;277;275;275;276;276;278;271;284;273;277;272;278.625;-1.625;-3.625;-3.625;-2.625;-2.625;-0.625;-7.625;5.375;-5.625;-1.625;-6.625
"1_Fagus sylvatica";"Fagus sylvatica";1965;287;276;278;279;280;285;290;286;283;280;281;278.625;8.375;-2.625;-0.625;0.375;1.375;6.375;11.375;7.375;4.375;1.375;2.375
"1_Fagus sylvatica";"Fagus sylvatica";1976;250;278;277;279;276;252;252;252;248;248;244;278.625;-28.625;-0.625;-1.625;0.375;-2.625;-26.625;-26.625;-26.625;-30.625;-30.625;-34.625
"1_Fagus sylvatica";"Fagus sylvatica";1978;298;277;276;277;277;295;307;295;294;296;294;278.625;19.375;-1.625;-2.625;-1.625;-1.625;16.375;28.375;16.375;15.375;17.375;15.375
"1_Fagus sylvatica";"Fagus sylvatica";1980;268;281;281;281;282;262;264;263;255;262;257;278.625;-10.625;2.375;2.375;2.375;3.375;-16.625;-14.625;-15.625;-23.625;-16.625;-21.625
"1_Fagus sylvatica";"Fagus sylvatica";1981;282;279;281;280;282;280;269;277;276;275;277;278.625;3.375;0.375;2.375;1.375;3.375;1.375;-9.625;-1.625;-2.625;-3.625;-1.625
"1_Fagus sylvatica";"Fagus sylvatica";1982;295;282;282;282;283;298;294;289;285;291;289;278.625;16.375;3.375;3.375;3.375;4.375;19.375;15.375;10.375;6.375;12.375;10.375
"1_Fagus sylvatica";"Fagus sylvatica";1983;264;280;278;280;279;258;269;265;259;256;257;278.625;-14.625;1.375;-0.625;1.375;0.375;-20.625;-9.625;-13.625;-19.625;-22.625;-21.625
"1_Fagus sylvatica";"Fagus sylvatica";1984;271;279;276;279;278;270;277;265;267;269;265;278.625;-7.625;0.375;-2.625;0.375;-0.625;-8.625;-1.625;-13.625;-11.625;-9.625;-13.625
"1_Fagus sylvatica";"Fagus sylvatica";1985;265;278;275;279;276;269;261;270;262;262;261;278.625;-13.625;-0.625;-3.625;0.375;-2.625;-9.625;-17.625;-8.625;-16.625;-16.625;-17.625
"1_Fagus sylvatica";"Fagus sylvatica";1986;264;274;270;273;271;271;271;276;263;261;264;278.625;-14.625;-4.625;-8.625;-5.625;-7.625;-7.625;-7.625;-2.625;-15.625;-17.625;-14.625
"1_Fagus sylvatica";"Fagus sylvatica";1987;266;275;274;276;274;262;260;264;258;261;260;278.625;-12.625;-3.625;-4.625;-2.625;-4.625;-16.625;-18.625;-14.625;-20.625;-17.625;-18.625
"1_Fagus sylvatica";"Fagus sylvatica";1988;275;279;279;280;281;271;274;269;268;270;268;278.625;-3.625;0.375;0.375;1.375;2.375;-7.625;-4.625;-9.625;-10.625;-8.625;-10.625
