"timeseries";"Species";"PEP_ID";"Tbase_CDD";"Fcrit_CDD";"Tbase_DM1";"Pbase_DM1";"Fcrit_DM1";"Tbase_DM2";"Pbase_DM2";"Fcrit_DM2";"Pbase_TPM";"a_TPM";"b_TPM";"Fcrit_TPM";"Pbase_SIAM";"a_SIAM";"b_SIAM";"c_SIAM";"d_SIAM";"Pbase_TDM";"a_TDM";"b_TDM";"c_TDM";"d_TDM";"Pbase_TPDM";"a_TPDM";"b_TPDM";"c_TPDM";"d_TPDM";"e_TPDM";"Pbase_PIAgsi";"a_PIAgsi";"b_PIAgsi";"c_PIAgsi";"d_PIAgsi";"Pbase_PIA-";"a_PIA-";"b_PIA-";"c_PIA-";"d_PIA-";"Pbase_PIA+";"a_PIA+";"b_PIA+";"c_PIA+";"d_PIA+"
"1_Fagus sylvatica";"Fagus sylvatica";1;29.22737767;-1424.595683;15.07834952;13.45702457;-145.7984762;15.23940696;15.00536352;-37.19273913;13.20517759;0.089028854;120.9657708;15.63906631;13.20517759;0.082796834;124.5947439;23.61120175;0.027464393;13.33722936;0.082796834;125.8044016;24.31773737;0.030592156;12.80902226;0.083687123;129.4333748;132.9043658;-5.744121343;-0.259651962;13.46928114;0.0854677;128.2237171;25.65582436;0.036708434;12.80902226;0.084577411;125.8044016;136.170644;-0.035060885;13.33722936;0.083687123;127.0140594;100.7101046;-0.025023853
"1_Quercus robur";"Quercus robur";1;29.36682744;-1420.038047;19.22917775;14.49878775;-352.4240806;16.24046705;15.13299102;-45.38959122;14.56506702;0.099219845;163.6619372;36.38311516;14.12811501;0.092274456;171.8450341;58.07033401;-0.253719527;14.71071769;0.093266654;173.4816534;59.4622913;-0.256038941;14.27376568;0.093266654;170.2084147;250.2375111;-9.973173944;-1.16904627;14.27376568;0.09624325;175.1182728;60.86067717;-0.259015656;15.00201903;0.094258853;170.2084147;201.6701166;-0.048009282;15.00201903;0.092274456;170.2084147;180.319907;-0.042994184
"1002_Aesculus hippocastanum";"Aesculus hippocastanum";1002;27.05686057;-1167.957997;26.35676564;14.67787983;-628.2424461;18.27047391;15.9509389;-70.19168984;14.64145795;0.061887849;183.6806376;37.63376281;14.64145795;0.058174578;192.8646695;68.16760833;0.062781437;14.34862879;0.058174578;191.0278631;66.87516249;0.064017605;14.78787253;0.059412335;192.8646695;237.6591455;-8.63428578;-0.504122988;14.34862879;0.058174578;196.5382822;70.69868975;0.059003578;14.64145795;0.058793456;189.1910567;158.2958338;-0.027407248;14.78787253;0.060031213;194.7014759;130.8431668;-0.01888291
"1002_Betula pendula";"Betula pendula";1002;29.99350058;-1602.318401;27.60875308;11.09607515;-44.89706479;23.53745512;11.1330671;-0.789373019;13.58709107;0.042506315;248.4212672;37.84529799;13.58709107;0.040380999;258.3581179;104.2282026;-0.039714439;13.85883289;0.039530873;263.3265432;105.1718413;-0.043254544;13.72296198;0.039530873;258.3581179;213.0568735;-5.548290374;-0.373289108;13.58709107;0.041231125;258.3581179;104.4287561;-0.040416987;13.58709107;0.039530873;260.8423306;195.9975368;-0.027893427;13.58709107;0.039530873;263.3265432;181.8557417;-0.024416351
"1002_Larix decidua";"Larix decidua";1002;29.87167064;-1662.807285;28.41562758;11.85667181;-385.9459851;28.09667219;14.53103532;-160.9470755;13.89314271;0.06703216;203.0079145;45.70792665;13.75421128;0.063680552;213.1583103;89.47986394;0.383896452;14.30993699;0.063680552;213.1583103;89.47986394;0.383896452;14.17100556;0.063680552;213.1583103;215.7503855;-6.603322451;-0.251032271;13.47634843;0.064350874;215.1883894;90.76851643;0.377733049;14.03207414;0.063010231;211.1282311;105.0637106;-0.0050526;14.17100556;0.063680552;211.1282311;120.1210109;-0.010852136
"1002_Quercus robur";"Quercus robur";1002;29.79132707;-1549.314051;28.17180464;14.31660078;-763.9833924;23.10257623;15.80085534;-144.3439841;14.75522007;0.021957389;207.4842544;43.1168342;14.31256347;0.021298667;213.7087821;77.63932668;-0.021777052;14.60766787;0.020859519;219.9333097;79.85744594;-0.02398751;14.46011567;0.021079093;217.8584672;152.487491;-3.666554956;-0.319514398;14.60766787;0.020420372;219.9333097;79.54551226;-0.023072967;14.75522007;0.020639946;217.8584672;120.5365167;-0.01341557;14.60766787;0.021298667;215.7836246;116.6811584;-0.012801665
"1002_Sorbus aucuparia";"Sorbus aucuparia";1002;29.93508198;-1582.31554;28.72399159;12.36454094;-427.1904721;29.51564583;14.1807287;-129.9413281;13.84866826;0.094082483;221.742753;44.88540382;13.43320821;0.088437534;230.6124631;97.28754039;-0.330815373;14.12564162;0.089378359;232.8298906;98.41073527;-0.316386965;13.71018157;0.089378359;228.3950355;195.8413037;-5.094453976;-0.263022841;13.43320821;0.08749671;228.3950355;96.12151381;-0.344764619;13.57169489;0.091260009;230.6124631;135.4314918;-0.011312181;13.98715494;0.088437534;230.6124631;152.2757081;-0.017043227
"1005_Aesculus hippocastanum";"Aesculus hippocastanum";1005;28.79263691;-1407.79046;18.55376095;12.32126191;-129.5780432;23.33880901;11.93781608;-3.469150728;15.98322316;0.071198123;219.4541431;64.55564261;15.82339093;0.067638217;234.8159332;98.54495723;0.249560999;15.6635587;0.066214254;226.0377674;95.43476181;0.257203391;15.50372647;0.066926236;234.8159332;199.5575207;-4.84779118;-0.661606217;15.98322316;0.067638217;230.4268503;97.15766183;0.252406654;16.46271986;0.067638217;232.6213917;227.0031866;-0.039549563;16.46271986;0.067638217;226.0377674;201.5476539;-0.034050677
"1005_Betula pendula";"Betula pendula";1005;28.89547284;-1271.85829;15.17285039;12.00586267;-19.33164019;29.38932086;12.596712;-8.665412024;15.58458215;0.070124241;222.7781629;52.53169078;15.42873633;0.066618029;236.1448526;91.26181203;-0.015022607;15.8962738;0.065916787;238.3726343;91.84673545;-0.02256517;16.05211962;0.067319271;233.917071;180.0204881;-4.565855482;-0.228886632;15.11704469;0.067319271;231.6892894;89.89862426;0.001234285;15.11704469;0.065916787;231.6892894;181.1829482;-0.02711551;15.27289051;0.065916787;231.6892894;179.6413853;-0.027983302
"1007_Aesculus hippocastanum";"Aesculus hippocastanum";1007;25.57805045;-1079.678771;28.61109961;15.91406422;-1021.547245;26.7234811;15.69234669;-136.2397621;14.53685631;0.09508496;175.6869802;37.76573933;14.10075062;0.089379862;186.228199;69.1141999;-0.421506804;14.68222487;0.088429013;184.4713292;67.62767365;-0.419575223;14.972962;0.090330712;187.9850688;249.8293887;-8.709131151;-0.91118812;14.24611918;0.091281561;182.7144594;66.19551093;-0.419793947;14.24611918;0.090330712;182.7144594;180.6220541;-0.035003082;14.10075062;0.090330712;184.4713292;167.0208528;-0.031693843
