"timeseries";"Species";"R2_CDD";"R2_DM1";"R2_DM2";"R2_TPM";"R2_SIAM";"R2_TDM";"R2_TPDM";"R2_PIAgsi";"R2_PIA-";"R2_PIA+";"RMSE_CDD";"RMSE_DM1";"RMSE_DM2";"RMSE_TPM";"RMSE_SIAM";"RMSE_TDM";"RMSE_TPDM";"RMSE_PIAgsi";"RMSE_PIA-";"RMSE_PIA+";"slope_CDD";"slope_DM1";"slope_DM2";"slope_TPM";"slope_SIAM";"slope_TDM";"slope_TPDM";"slope_PIAgsi";"slope_PIA-";"slope_PIA+"
"1_Fagus sylvatica";"Fagus sylvatica";0.026624928;0.200648896;0.141939221;0.253083303;0.690254072;0.801173907;0.789295936;0.878566534;0.846872858;0.845587791;11.46053009;10.4133328;10.79062093;10.10878331;7.307957991;5.687156583;5.763570942;6.768493185;7.026734661;6.959705454;0.630522526;1.228301472;1.399757967;1.357446809;0.740849178;0.811777784;0.823692688;1.010980792;0.988403452;0.895740905
"1_Quercus robur";"Quercus robur";0.006485279;0.061705255;0.052688613;0.103600171;0.812792819;0.874510454;0.835437112;0.934154362;0.936816716;0.932587533;14.96368152;14.45072764;14.5217889;14.14733398;9.664976188;6.090011108;7.320398575;5.643840995;4.021998333;4.155081934;0.41809214;1.023532522;1.218928415;1.227450314;0.9049745;0.890183281;0.930808366;0.952784178;0.974256004;1.032883924
"1002_Aesculus hippocastanum";"Aesculus hippocastanum";0.237814547;0.229372788;0.2009684;0.274142075;0.578714108;0.564312742;0.573790471;0.621270001;0.701513205;0.663849718;10.1396499;10.19650675;10.37575298;9.877373133;12.32629304;20.19359428;18.63716046;19.80293539;24.58022579;24.59230062;0.922262954;1.127255155;0.944731405;0.981161455;0.943549199;0.676556604;1.017225106;0.955399863;1.016709691;0.993578934
"1002_Betula pendula";"Betula pendula";0.007926403;0.050635003;0.061959343;0.080777816;0.184890801;0.294439401;0.154439643;0.297533761;0.360831524;0.460431946;8.564096566;5.908151149;5.902859477;5.830951895;7.535333437;12.65405073;13.21930407;9.609565547;4.905354218;4.52078533;-0.094990079;2.783333333;3.478723404;2.255574614;0.375332005;0.466355535;0.348998045;0.80450237;0.81459408;0.848426789
"1002_Larix decidua";"Larix decidua";0.324791938;0.287659982;0.361018786;0.447808016;0.197078622;0.06783977;0.028701945;0.090701283;0.012607691;0.047272404;5.777110004;4.123105626;3.881043674;3.64862988;22.14441239;17.72004515;17.94958217;5.798706752;5.315072906;5.068283733;0.398617324;1.04548326;1.042;0.956521739;-0.341326781;0.241596338;0.222477064;0.935794543;0.204407713;0.368320611
"1002_Quercus robur";"Quercus robur";0.343174529;0.378640847;0.358337354;0.419553007;3.14e-06;0.034165201;0.061053318;0.065485506;0.04264675;0.295068161;5.678908346;5.282636652;5.396758286;5.083674852;8.671072598;21.54356052;22.08577031;7.180703308;9.804335776;9.714679614;0.695630647;0.9316364;1.119018405;1.026976334;-0.002238388;0.202292083;0.260494158;0.450489663;0.355140187;1.011256465
"1002_Sorbus aucuparia";"Sorbus aucuparia";0.133393586;0.121783611;0.164384066;0.40082497;0.151731306;1.23e-05;0.004353943;5.85e-05;0.04338055;0.031704703;6.427480066;4.107919181;3.94493346;3.45506874;19.14745414;21.16601049;17.84306588;10.26218788;5.634713835;5.356071321;0.239670932;0.649742458;0.803333333;1.540201005;-0.258332555;-0.00303757;0.054990417;-0.012528474;-0.421372719;0.337920489
"1005_Aesculus hippocastanum";"Aesculus hippocastanum";0.031448947;0.093010488;0.309358488;0.127307347;0.792612446;0.86019162;0.854768688;0.938811755;0.944404933;0.955451157;12.39038898;12.28997471;12.40091161;11.76952587;6.355415356;7.312883212;7.506518906;6.345145354;3.867366254;4;0.866381766;3.370262391;20.78333333;1.135210246;0.842749267;0.910201876;0.947812124;0.942208276;0.962746017;0.935868257
"1005_Betula pendula";"Betula pendula";0.020634164;0.147368489;0.104601185;0.217027654;0.775774337;0.636607072;0.640871862;0.923545982;0.837526249;0.817560471;9.297176991;9.1070028;9.209370228;8.329165624;12.494999;6.294839156;5.787918451;2.704163457;11.74201857;10.2834819;0.493589744;5.392857143;8.5;1.418799832;0.793876576;0.723850307;0.842614405;1.057894737;0.967534766;0.85266546
"1007_Aesculus hippocastanum";"Aesculus hippocastanum";0.050549209;0.043278631;0.020936271;0.159919457;0.836381473;0.68149169;0.854509556;0.931541654;0.940287997;0.903165802;10.69462482;10.66145706;10.76258953;10.14067716;7.248563076;7.884584115;4.894725052;3.129163893;3.708099244;4.813176359;0.8187841;0.760959308;1.218978102;1.746846089;0.790493963;0.741023547;0.794889623;0.98275652;1.013778484;1.0222702
"1007_Betula pendula";"Betula pendula";0.022432833;0.114156633;0.080974954;0.035116802;0.537386959;0.649075377;0.724241143;0.870843729;0.828094039;0.795040102;8.873507223;7.983679004;8.06764876;8.013575438;16.29483781;13.28451207;11.9291386;5.61054907;5.691335902;6.08276253;-0.486169573;4.494949495;5.274509804;1.422697368;0.62813744;0.726669143;0.726022845;0.971720297;0.948450093;1.052524851
