"timeseries";"Species";"RMSE_CDD";"RMSE_DM1";"RMSE_DM2";"RMSE_TPM";"RMSE_SIAM";"RMSE_TDM";"RMSE_TPDM";"RMSE_PIAgsi";"RMSE_PIA-";"RMSE_PIA+"
"1_Fagus sylvatica";"Fagus sylvatica";9.943;10.6654;9.9589;8.2624;15.4279;15.8279;15.7279;5.9688;6.4421;7.0635
"1_Quercus robur";"Quercus robur";11.4812;9.5423;10.5895;8.4389;9.06;9.46;9.36;6.6418;7.438;7.2608
"1002_Aesculus hippocastanum";"Aesculus hippocastanum";9.9932;7.9857;11.4516;9.0005;13.3447;13.7447;13.6447;7.1812;7.9473;5.0806
"1002_Betula pendula";"Betula pendula";11.2801;10.4171;11.1628;8.379;11.9097;12.3097;12.2097;6.5153;5.8343;7.3142
"1002_Larix decidua";"Larix decidua";8.7169;10.0508;9.4414;11.206;11.9728;12.3728;12.2728;8.2608;6.5669;5.2579
"1002_Quercus robur";"Quercus robur";10.1641;11.1793;10.3317;9.3051;7.1974;7.5974;7.4974;8.1003;6.4242;6.4987
"1002_Sorbus aucuparia";"Sorbus aucuparia";9.9063;8.7089;11.3735;8.1272;12.9599;13.3599;13.2599;5.6039;6.5549;6.175
"1005_Aesculus hippocastanum";"Aesculus hippocastanum";10.4712;9.4575;10.3975;10.714;6.47;6.87;6.77;6.9624;6.3919;5.2004
"1005_Betula pendula";"Betula pendula";11.3325;8.8993;10.1745;10.9984;5.9459;6.3459;6.2459;7.3865;4.9163;6.174
"1007_Aesculus hippocastanum";"Aesculus hippocastanum";8.6678;8.4781;8.4634;7.7694;13.9464;14.3464;14.2464;5.7607;5.5492;6.9088
"1007_Betula pendula";"Betula pendula";11.1987;8.5946;8.7122;9.5245;9.8397;10.2397;10.1397;7.7856;5.0002;5.8635
"1007_Fagus sylvatica";"Fagus sylvatica";9.1012;7.7646;10.17;8.1843;5.7288;6.1288;6.0288;5.9162;6.5939;6.9626
"1007_Quercus robur";"Quercus robur";10.331;9.1043;8.4257;8.9043;12.8724;13.2724;13.1724;4.9489;7.2145;6.5118
"1008_Aesculus hippocastanum";"Aesculus hippocastanum";9.6086;8.792;8.852;8.3703;9.5148;9.9148;9.8148;7.8331;7.6561;7.0478
"1008_Betula pendula";"Betula pendula";9.8107;9.827;10.2878;10.2788;9.2012;9.6012;9.5012;5.2701;7.174;7.0314
"1008_Fagus sylvatica";"Fagus sylvatica";9.2968;11.3207;11.2126;9.1205;10.4941;10.8941;10.7941;7.2949;6.1949;6.5452
"1008_Quercus robur";"Quercus robur";9.4884;10.5618;9.6732;11.2149;8.9625;9.3625;9.2625;7.6664;7.0737;6.4596
"1011_Aesculus hippocastanum";"Aesculus hippocastanum";8.6237;9.8341;9.2302;10.1824;7.0405;7.4405;7.3405;6.7989;7.9833;5.1369
"1011_Betula pendula";"Betula pendula";8.8264;9.0616;9.7341;9.2983;4.197;4.597;4.497;7.4652;7.7655;5.2121
"1011_Quercus robur";"Quercus robur";11.4415;10.0428;10.8083;9.1171;11.1471;11.5471;11.4471;7.9724;6.1848;5.2408
"1013_Aesculus hippocastanum";"Aesculus hippocastanum";10.0014;9.5552;8.2676;7.9252;14.4385;14.8385;14.7385;8.4258;6.8498;6.8162
"1013_Betula pendula";"Betula pendula";11.7329;9.8824;9.2081;9.0297;12.5003;12.9003;12.8003;6.7669;5.5931;6.7523
"1013_Fagus sylvatica";"Fagus sylvatica";11.3812;9.9315;9.3595;9.1161;14.2364;14.6364;14.5364;5.2681;5.1015;5.7506
"1013_Quercus robur";"Quercus robur";11.0071;10.2771;9.2251;10.4049;12.4124;12.8124;12.7124;7.683;6.0577;5.8781
"1016_Aesculus hippocastanum";"Aesculus hippocastanum";8.7419;10.9739;10.3314;11.2394;12.41;12.81;12.71;6.5102;5.8725;6.1066
"1016_Betula pendula";"Betula pendula";8.955;8.2169;10.6263;10.351;7.3179;7.7179;7.6179;7.0618;7.5142;5.6556
"1016_Fagus sylvatica";"Fagus sylvatica";9.0369;10.5263;11.1592;10.3525;4.7912;5.1912;5.0912;7.4547;4.9034;7.1996
"1016_Quercus robur";"Quercus robur";9.3908;11.0911;10.4466;7.749;14.6255;15.0255;14.9255;5.5834;6.7291;6.6747
"1017_Aesculus hippocastanum";"Aesculus hippocastanum";11.3396;10.9682;8.5318;9.0937;5.3643;5.7643;5.6643;6.5042;4.9972;7.2591
"1017_Betula pendula";"Betula pendula";9.0069;9.7126;10.585;8.7511;7.1215;7.5215;7.4215;6.1432;5.6154;5.1988
